targetName	canonicalName	previousNames	nation	tier	type	attribute	oldValue	newValue	version	notes	trend	shipStatus	tags	sourceSheet
Общий тест 25.9 — изменения подлодок и ПЛО	Общий тест 25.9 — изменения подлодок и ПЛО					Максимальное одновременное количество отметок сектора сонаром для авианосцев, линкоров и крейсеров уменьшено до двух	—	—	25.9	官方公告：https://blog.korabli.su/blog/637	adjustment	unknown		Korabli #637
Общий тест 25.9 — изменения подлодок и ПЛО	Общий тест 25.9 — изменения подлодок и ПЛО					Дистанция, на которой акустические торпеды перестают наводиться на эсминцы,	240	480 м	25.9	官方公告：https://blog.korabli.su/blog/637	adjustment	unknown		Korabli #637
Общий тест 25.7 — балансные правки подлодок и тестовых кораблей	Общий тест 25.7 — балансные правки подлодок и тестовых кораблей					Радиус, в котором они могут уничтожать торпеды, увеличен до 90 м	—	—	25.7	官方公告：https://blog.korabli.su/blog/618	adjustment	unknown		Korabli #618
Закрытое тестирование 25.4 — изменения тестовых кораблей	Закрытое тестирование 25.4 — изменения тестовых кораблей					Время перезарядки снаряжения «Аварийная команда»	40	20 с	25.4	官方公告：https://blog.korabli.su/blog/600	buff	unknown		Korabli #600
Закрытое тестирование 13.10 — Чёрная пятница, новая Верфь, изменения модернизаций, новые сезоны Ранговых и Клановых боёв, новые карты c HD-текстурами и другое	Закрытое тестирование 13.10 — Чёрная пятница, новая Верфь, изменения модернизаций, новые сезоны Ранговых и Клановых боёв, новые карты c HD-текстурами и другое					Добавлен бонус: -30% ко времени перезарядки снаряжения	—	—	13.10	官方公告：https://blog.korabli.su/blog/570	adjustment	unknown		Korabli #570
Закрытое тестирование 13.10 — Чёрная пятница, новая Верфь, изменения модернизаций, новые сезоны Ранговых и Клановых боёв, новые карты c HD-текстурами и другое	Закрытое тестирование 13.10 — Чёрная пятница, новая Верфь, изменения модернизаций, новые сезоны Ранговых и Клановых боёв, новые карты c HD-текстурами и другое					Бонус ко времени работы снаряжения	40%	8 с	13.10	官方公告：https://blog.korabli.su/blog/570	adjustment	unknown		Korabli #570
Изменения модернизаций — новая информация	Изменения модернизаций — новая информация					Добавлен бонус: -30% ко времени перезарядки снаряжения	—	—	待确认	官方公告：https://blog.korabli.su/blog/561	adjustment	unknown		Korabli #561
Изменения модернизаций — новая информация	Изменения модернизаций — новая информация					Бонус ко времени работы снаряжения	40%	8 с	待确认	官方公告：https://blog.korabli.su/blog/561	adjustment	unknown		Korabli #561
指挥官潜艇技能：深潜大师（4技能点）	指挥官潜艇技能：深潜大师（4技能点）					最大深度时敌方深水炸弹伤害降低	-50%	-33%	26.9	人工录入：用户提供，已与官方公告核对 官网核验：https://korabli.su/ru/news/game-updates/update-26-9-mk-birthday/	nerf	unknown		Manual 26.9
所有潜艇	所有潜艇					最大深度受到的伤害（原始伤害占比）	10%	20%	26.10	26.10 公测，正式服是否采用以最终公告为准。通用机制，不重复展开到每艘潜艇。 官方公告：https://korabli.su/ru/news/public-test/public-test-2610/	nerf	unknown		portal-public-test-2610
潜艇常规鱼雷（法国除外）	潜艇常规鱼雷（法国除外）					鱼雷起爆距离	—	1.5 千米	26.10	26.10 公测，正式服是否采用以最终公告为准。通用机制，不重复展开到每艘潜艇。 官方公告：https://korabli.su/ru/news/public-test/public-test-2610/	nerf	unknown		portal-public-test-2610
法国潜艇常规鱼雷	法国潜艇常规鱼雷					鱼雷起爆距离	—	1.2 千米	26.10	26.10 公测，正式服是否采用以最终公告为准。通用机制，不重复展开到每艘潜艇。 官方公告：https://korabli.su/ru/news/public-test/public-test-2610/	nerf	unknown		portal-public-test-2610
苏联及法国潜艇常规鱼雷	苏联及法国潜艇常规鱼雷					鱼雷被发现距离	—	1.4 千米	26.10	26.10 公测，正式服是否采用以最终公告为准。通用机制，不重复展开到每艘潜艇。 官方公告：https://korabli.su/ru/news/public-test/public-test-2610/	nerf	unknown		portal-public-test-2610
舰载深水炸弹	舰载深水炸弹					对水面舰与潜艇的杀伤半径（不含空袭）	375 米	450 米	26.10	26.10 公测，正式服是否采用以最终公告为准。通用机制，不重复展开到每艘潜艇。 官方公告：https://korabli.su/ru/news/public-test/public-test-2610/	buff	unknown		portal-public-test-2610
