targetName	canonicalName	previousNames	nation	tier	type	attribute	oldValue	newValue	version	notes	trend	shipStatus	tags	sourceSheet
Обновление 26.7 — изменения Боевого пропуска	Обновление 26.7 — изменения Боевого пропуска					Количество стали, угля и очков исследования осталось без изменений	—	—	26.7	官方公告：https://blog.korabli.su/blog/688	adjustment	unknown		Korabli #688
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Скорость стандартных и тактических штурмовиков	125	135 уз	26.6	官方公告：https://blog.korabli.su/blog/685	buff	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Скорость стандартных и тактических бомбардировщиков	110	120 уз	26.6	官方公告：https://blog.korabli.su/blog/685	buff	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Разброс бомб тактических бомбардировщиков уменьшен на ~28%	—	—	26.6	官方公告：https://blog.korabli.su/blog/685	adjustment	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Изменены параметры стандартных бомбардировщиков: Изменена формация: теперь эскадрилья состоит из двух атакующих звеньев по 5 самолётов	—	—	26.6	官方公告：https://blog.korabli.su/blog/685	adjustment	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Количество самолётов на палубе	23	26	26.6	官方公告：https://blog.korabli.su/blog/685	buff	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Максимальный урон ББ-бомбы	6200	5900 ед	26.6	官方公告：https://blog.korabli.su/blog/685	nerf	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Параметр сигма орудий ГК	2,05	2,15	26.6	官方公告：https://blog.korabli.su/blog/685	adjustment	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Время перезарядки орудий ГК	28	30 с	26.6	官方公告：https://blog.korabli.su/blog/685	nerf	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Изменены параметры ББ-снарядов: Пробитие увеличено на ~5%	—	—	26.6	官方公告：https://blog.korabli.su/blog/685	adjustment	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Минимальный угол, при котором начинается проверка на рикошет, увеличен на 5 градусов. Теперь по этому показателю ББ-снаряды Wotan аналогичны снарядам крейсера «Сталинград»	—	—	26.6	官方公告：https://blog.korabli.su/blog/685	adjustment	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Максимальный урон	11000	10500 ед	26.6	官方公告：https://blog.korabli.su/blog/685	nerf	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Углы поворота носовой башни ГК увеличены 9 градусов в каждом направлении. Таким образом углы поворота этой башни станут аналогичны крейсеру Wotan	—	—	26.6	官方公告：https://blog.korabli.su/blog/685	adjustment	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Заметность с кораблей	6,6	7,1 км	26.6	官方公告：https://blog.korabli.su/blog/685	nerf	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Изменены параметры глубинных бомб: Количество зарядов	3	2	26.6	官方公告：https://blog.korabli.su/blog/685	nerf	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Время перезарядки уменьшено со 120 до 90 с	—	—	26.6	官方公告：https://blog.korabli.su/blog/685	adjustment	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Параметр сигма орудий ГК	1,9	1,8	26.6	官方公告：https://blog.korabli.su/blog/685	adjustment	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Время перезарядки орудий ПМК	5,1	5,5 с	26.6	官方公告：https://blog.korabli.su/blog/685	nerf	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Заметность с кораблей	15,2	15,4 км	26.6	官方公告：https://blog.korabli.su/blog/685	nerf	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Время перезарядки орудий ПМК	4,8	5 с	26.6	官方公告：https://blog.korabli.su/blog/685	nerf	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Максимальная скорость хода	28	30 уз	26.6	官方公告：https://blog.korabli.su/blog/685	buff	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Время перезарядки орудий ГК	18,5	20 с	26.6	官方公告：https://blog.korabli.su/blog/685	nerf	unknown		Korabli #685
Обновление 26.6 — изменения кораблей	Обновление 26.6 — изменения кораблей					Параметр сигма орудий ГК	2,05	1,9	26.6	官方公告：https://blog.korabli.su/blog/685	adjustment	unknown		Korabli #685
Обновление 26.2 — изменение кораблей	Обновление 26.2 — изменение кораблей					Бронирование оконечностей и центральной части корпуса	25	16 мм	26.2	官方公告：https://blog.korabli.su/blog/665	adjustment	unknown		Korabli #665
Обновление 26.2 — изменение кораблей	Обновление 26.2 — изменение кораблей					Бронирование центральной части палубы	27	16 мм	26.2	官方公告：https://blog.korabli.su/blog/665	adjustment	unknown		Korabli #665
Обновление 26.2 — изменение кораблей	Обновление 26.2 — изменение кораблей					Бронирование бронепояса каземата	32	60 мм	26.2	官方公告：https://blog.korabli.su/blog/665	adjustment	unknown		Korabli #665
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Время перезарядки орудий ГК	3	3,3 с	2025.08	官方公告：https://blog.korabli.su/blog/636	nerf	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Время поворота орудий на 180 градусов	60	50 с	2025.08	官方公告：https://blog.korabli.su/blog/636	buff	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Время перезарядки орудий ГК	16	15,5 с	2025.08	官方公告：https://blog.korabli.su/blog/636	buff	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Время перезарядки	120	90 с	2025.08	官方公告：https://blog.korabli.su/blog/636	buff	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Дальность хода торпед	8	9 км	2025.08	官方公告：https://blog.korabli.su/blog/636	buff	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Время перезарядки орудий ГК	25	26 с	2025.08	官方公告：https://blog.korabli.su/blog/636	nerf	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Время перезарядки ГК	6,5	7,5 с	2025.08	官方公告：https://blog.korabli.su/blog/636	nerf	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Время перезарядки орудий ГК	6,5	7,5 с	2025.08	官方公告：https://blog.korabli.su/blog/636	nerf	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Время перезарядки торпед	35	45 с	2025.08	官方公告：https://blog.korabli.su/blog/636	nerf	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Время перезарядки сонара	5	6 с	2025.08	官方公告：https://blog.korabli.su/blog/636	nerf	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Ширина сектора пуска торпед увеличена на 55 градусов в обе стороны	—	—	2025.08	官方公告：https://blog.korabli.su/blog/636	adjustment	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Дальность акустических торпед	6	9 км	2025.08	官方公告：https://blog.korabli.su/blog/636	buff	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Урон акустических торпед	7805	11055	2025.08	官方公告：https://blog.korabli.su/blog/636	buff	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Обычные торпеды заменены на термические и получили следующие характеристики: Дальность хода — 17 км	—	—	2025.08	官方公告：https://blog.korabli.su/blog/636	adjustment	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Шанс затопления	26	170%	2025.08	官方公告：https://blog.korabli.su/blog/636	buff	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Дальность действия шумопеленгатора	8	9 км	2025.08	官方公告：https://blog.korabli.su/blog/636	buff	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Дальность взведения всех типов торпед	360	750 м	2025.08	官方公告：https://blog.korabli.su/blog/636	buff	unknown		Korabli #636
Закрытое тестирование — изменения тестовых кораблей	Закрытое тестирование — изменения тестовых кораблей					Максимальная дальность авиаудара (ГБ)	11	10 км	2025.08	官方公告：https://blog.korabli.su/blog/636	nerf	unknown		Korabli #636
Закрытое тестирование 25.8 — изменения тестовых кораблей	Закрытое тестирование 25.8 — изменения тестовых кораблей					Количество очков боеспособности	84300	96600	25.8	官方公告：https://blog.korabli.su/blog/628	buff	unknown		Korabli #628
Закрытое тестирование 25.8 — изменения тестовых кораблей	Закрытое тестирование 25.8 — изменения тестовых кораблей					Время перезарядки орудий ГК	33	31,5 с	25.8	官方公告：https://blog.korabli.su/blog/628	buff	unknown		Korabli #628
Закрытое тестирование 25.8 — изменения тестовых кораблей	Закрытое тестирование 25.8 — изменения тестовых кораблей					Дальность стрельбы ГК	21,6	23 км	25.8	官方公告：https://blog.korabli.su/blog/628	buff	unknown		Korabli #628
Закрытое тестирование 25.8 — изменения тестовых кораблей	Закрытое тестирование 25.8 — изменения тестовых кораблей					Время перезарядки орудий ГК	15	16 с	25.8	官方公告：https://blog.korabli.su/blog/628	nerf	unknown		Korabli #628
