targetName	canonicalName	previousNames	nation	tier	type	attribute	oldValue	newValue	version	notes	trend	shipStatus	tags	sourceSheet
Budapest	Budapest		欧洲	9	战列舰	Дальность стрельбы ГК	19.2	19	26.8	官方公告：https://blog.korabli.su/blog/693	nerf	test		Korabli #693
Hakusan	Hakusan		日本	9	战列舰	Параметр сигма орудий ГК	1,8	1,75	26.8	官方公告：https://blog.korabli.su/blog/693	adjustment	test		Korabli #693
Hakusan	Hakusan		日本	9	战列舰	Время перезарядки орудий ГК	31,5	32 с	26.8	官方公告：https://blog.korabli.su/blog/693	nerf	test		Korabli #693
Hakusan	Hakusan		日本	9	战列舰	Время перезарядки 140-мм орудий ПМК	5,0	5,3 с	26.8	官方公告：https://blog.korabli.su/blog/693	nerf	test		Korabli #693
ГДР	ГДР		苏联	10	战列舰	Количество снаряжения «Ремонтная команда»	3	4	26.8	官方公告：https://blog.korabli.su/blog/693	buff	test		Korabli #693
Chōkai	Chōkai		日本	9	巡洋舰	Заметность с кораблей	11,5	12,3 км	26.8	官方公告：https://blog.korabli.su/blog/693	nerf	test		Korabli #693
Княгиня Ольга	Княгиня Ольга		苏联	8	巡洋舰	Изменены параметры снаряжения «Ремонтная команда». Теперь оно идентично этому снаряжению у крейсеров IX уровня и выше	—	—	26.8	官方公告：https://blog.korabli.su/blog/693	adjustment	test		Korabli #693
Княгиня Ольга	Княгиня Ольга		苏联	8	巡洋舰	Бронепробитие ОФ-снаряда ГК	38	30 мм	26.8	官方公告：https://blog.korabli.su/blog/693	nerf	test		Korabli #693
Княгиня Ольга	Княгиня Ольга		苏联	8	巡洋舰	Шанс поджога ОФ-снаряда ГК	13	15%	26.8	官方公告：https://blog.korabli.su/blog/693	buff	test		Korabli #693
Waterloo	Waterloo		英国	11	驱逐舰	Изменены параметры снаряжения «Ремонтная команда». Теперь оно идентично этому снаряжению у крейсеров IX уровня и выше	—	—	26.8	官方公告：https://blog.korabli.su/blog/693	adjustment	test		Korabli #693
Jenkins	Jenkins		美国	11	驱逐舰	Время перезарядки ТА	150	145 с	26.7	官方公告：https://blog.korabli.su/blog/692	buff	test		Korabli #692
Jenkins	Jenkins		美国	11	驱逐舰	Заметность с кораблей	7,4	7,2 км	26.7	官方公告：https://blog.korabli.su/blog/692	buff	test		Korabli #692
Kaimon	Kaimon		日本	10	巡洋舰	Время поворота ГК на 180 градусов	36	30 с	26.7	官方公告：https://blog.korabli.su/blog/692	buff	test		Korabli #692
Kaimon	Kaimon		日本	10	巡洋舰	Изменена баллистика снарядов. Теперь они летят по более настильной траектории	—	—	26.7	官方公告：https://blog.korabli.su/blog/692	adjustment	test		Korabli #692
Danzig	Danzig		德国	9	巡洋舰	Минимальный интервал между выстрелами залпа	4	3 с	26.7	官方公告：https://blog.korabli.su/blog/692	adjustment	test		Korabli #692
Danzig	Danzig		德国	9	巡洋舰	Время перезарядки серии залпов	25	27 с	26.7	官方公告：https://blog.korabli.su/blog/692	nerf	test		Korabli #692
Budapest	Budapest		欧洲	9	战列舰	Время перезарядки ГК	22	20 с	26.7	官方公告：https://blog.korabli.su/blog/692	buff	test		Korabli #692
Budapest	Budapest		欧洲	9	战列舰	Время действия снаряжения «Корректировщик огня»	100	180 с	26.7	官方公告：https://blog.korabli.su/blog/692	buff	test		Korabli #692
Akagi	Akagi		日本	8		Урон ББ-бомбы	5500	4700	26.7	官方公告：https://blog.korabli.su/blog/692	nerf	test		Korabli #692
Akagi	Akagi		日本	8		Запас боеспособности бомбардировщиков и тактических бомбардировщиков	1350	1270	26.7	官方公告：https://blog.korabli.su/blog/692	nerf	test		Korabli #692
Akagi	Akagi		日本	8		Запас боеспособности штурмовиков и тактических штурмовиков	1300	1350	26.7	官方公告：https://blog.korabli.su/blog/692	buff	test		Korabli #692
